datum,waarde,bron
-8855,265,EPICA Dome C
-8794,264.8,EPICA Dome C
-8671,264.8,EPICA Dome C
-8577,267.6,EPICA Dome C
-8467,265.1,EPICA Dome C
-8344,266,EPICA Dome C
-8259,266.9,EPICA Dome C
-8138,267.5,EPICA Dome C
-8033,264.9,EPICA Dome C
-7959,265.7,EPICA Dome C
-7857,263.4,EPICA Dome C
-7771,264,EPICA Dome C
-7647,264.2,EPICA Dome C
-7586,264.4,EPICA Dome C
-7367,263.8,EPICA Dome C
-7282,263,EPICA Dome C
-7190,260.9,EPICA Dome C
-7142,260.6,EPICA Dome C
-7023,265.2,EPICA Dome C
-6919,263.8,EPICA Dome C
-6834,263.7,EPICA Dome C
-6703,262,EPICA Dome C
-6629,259.3,EPICA Dome C
-6527,260.4,EPICA Dome C
-6437,260.9,EPICA Dome C
-6331,259,EPICA Dome C
-6231,261.8,EPICA Dome C
-6100,260.7,EPICA Dome C
-6040,261.3,EPICA Dome C
-5926,258.3,EPICA Dome C
-5831,259.3,EPICA Dome C
-5741,259.6,EPICA Dome C
-5640,260.8,EPICA Dome C
-5557,259.2,EPICA Dome C
-5463,259.7,EPICA Dome C
-5370,260.4,EPICA Dome C
-5284,260.1,EPICA Dome C
-5162,258.4,EPICA Dome C
-5078,260.7,EPICA Dome C
-4991,263,EPICA Dome C
-4888,262.3,EPICA Dome C
-4763,257.6,EPICA Dome C
-4667,258.1,EPICA Dome C
-4595,262.9,EPICA Dome C
-4484,262.1,EPICA Dome C
-4404,259.4,EPICA Dome C
-4313,261.1,EPICA Dome C
-4181,261.2,EPICA Dome C
-4089,262.7,EPICA Dome C
-4048,263.2,EPICA Dome C
-3905,265.5,EPICA Dome C
-3766,266.7,EPICA Dome C
-3707,260.7,EPICA Dome C
-3612,265.5,EPICA Dome C
-3526,265.9,EPICA Dome C
-3420,267.6,EPICA Dome C
-3324,265.2,EPICA Dome C
-3210,265.3,EPICA Dome C
-3144,267.6,EPICA Dome C
-3054,269.8,EPICA Dome C
-2924,268.6,EPICA Dome C
-2816,269.3,EPICA Dome C
-2753,270.7,EPICA Dome C
-2623,271.5,EPICA Dome C
-2530,269.8,EPICA Dome C
-2424,269.1,EPICA Dome C
-2374,271.1,EPICA Dome C
-2211,271.5,EPICA Dome C
-2146,272.8,EPICA Dome C
-2054,271.6,EPICA Dome C
-1960,271.7,EPICA Dome C
-1840,274.9,EPICA Dome C
-1771,275.4,EPICA Dome C
-1672,271.5,EPICA Dome C
-1573,273,EPICA Dome C
-1503,273.4,EPICA Dome C
-1386,275,EPICA Dome C
-1265,274,EPICA Dome C
-1166,273.1,EPICA Dome C
-1103,276.3,EPICA Dome C
-952,274.6,EPICA Dome C
-856,276.3,EPICA Dome C
-778,274.7,EPICA Dome C
-654,275.3,EPICA Dome C
-586,278.9,EPICA Dome C
-483,273.9,EPICA Dome C
-384,277.9,EPICA Dome C
-262,277.6,EPICA Dome C
-178,276.7,EPICA Dome C
-107,276.7,EPICA Dome C
19,276.9,EPICA Dome C
138,278,EPICA Dome C
217,278.7,EPICA Dome C
312,278.9,EPICA Dome C
398,280,EPICA Dome C
497,279.2,EPICA Dome C
600,277.4,EPICA Dome C
717,278.7,EPICA Dome C
797,277.7,EPICA Dome C
890,279.1,EPICA Dome C
1000,276.6,EPICA Dome C
1073,278.4,EPICA Dome C
1196,280.1,EPICA Dome C
1278,282.2,EPICA Dome C
1391,281.1,EPICA Dome C
1465,277.7,EPICA Dome C
1546,281.9,EPICA Dome C
1555,279.1,EPICA Dome C
1671,277.9,EPICA Dome C
1682,274.9,EPICA Dome C
1813,280.4,EPICA Dome C
1969,322.51,MLO
1969,321.36,MLO
1969,320.74,MLO
1969,321.98,MLO
1969,323.78,MLO
1970,325.13,MLO
1970,325.54,MLO
1970,325.68,MLO
1970,326.58,MLO
1970,327.68,MLO
1970,327.3,MLO
1970,326.13,MLO
1970,324.91,MLO
1970,322.98,MLO
1970,322.62,MLO
1970,324,MLO
1970,325.52,MLO
1976,332.3,MLO
1976,331.04,MLO
1976,329.67,MLO
1976,329.33,MLO
1976,330.46,MLO
1976,331.97,MLO
1977,332.77,MLO
1977,333.1,MLO
1977,334.08,MLO
1977,335.78,MLO
1977,336.49,MLO
1977,335.96,MLO
1977,334.64,MLO
1977,332.31,MLO
1977,330.66,MLO
1977,330.55,MLO
1977,331.72,MLO
1977,333.74,MLO
1978,335.17,MLO
1978,335.78,MLO
1978,336.69,MLO
1978,337.76,MLO
1978,338.01,MLO
1978,337.57,MLO
1978,336.17,MLO
1978,333.89,MLO
1978,332.19,MLO
1978,332.2,MLO
1978,333.24,MLO
1978,334.64,MLO
1979,336.11,MLO
1979,337.2,MLO
1979,338.5,MLO
1979,339,MLO
1979,338.93,MLO
1979,338.97,MLO
1979,337.78,MLO
1979,335.57,MLO
1979,333.95,MLO
1979,334.41,MLO
1979,335.66,MLO
1979,336.81,MLO
1980,338.88,MLO
1980,340.18,MLO
1980,341.33,MLO
1980,342.81,MLO
1980,342.89,MLO
1980,341.75,MLO
1980,339.16,MLO
1980,337.04,MLO
1980,336.6,MLO
1980,336.6,MLO
1980,337.55,MLO
1980,339.18,MLO
1981,340.41,MLO
1981,341.39,MLO
1981,342.33,MLO
1981,343.34,MLO
1981,343.55,MLO
1981,342.34,MLO
1981,340.4,MLO
1981,338.67,MLO
1981,337.37,MLO
1981,337.52,MLO
1981,338.88,MLO
1981,340.22,MLO
1982,341.1,MLO
1982,341.99,MLO
1982,343.03,MLO
1982,343.82,MLO
1982,343.76,MLO
1982,342.87,MLO
1982,341.47,MLO
1982,339.26,MLO
1982,337.33,MLO
1982,337.64,MLO
1982,339.03,MLO
1982,340.66,MLO
1983,341.96,MLO
1983,342.37,MLO
1983,343.12,MLO
1983,345.12,MLO
1983,346.09,MLO
1983,345.3,MLO
1983,343.52,MLO
1983,341.2,MLO
1983,339.78,MLO
1983,339.97,MLO
1983,341.14,MLO
1983,342.73,MLO
1984,343.94,MLO
1984,344.59,MLO
1984,345.52,MLO
1984,346.81,MLO
1984,347.38,MLO
1984,346.62,MLO
1984,345.1,MLO
1984,342.86,MLO
1984,341.3,MLO
1984,341.7,MLO
1984,343,MLO
1984,343.92,MLO
1985,344.6,MLO
1985,345.65,MLO
1985,346.86,MLO
1985,347.8,MLO
1985,348.57,MLO
1985,348.2,MLO
1985,346.22,MLO
1985,343.94,MLO
1985,342.83,MLO
1985,342.87,MLO
1985,344.05,MLO
1985,345.31,MLO
1986,346.1,MLO
1986,346.62,MLO
1986,347.69,MLO
1986,349.28,MLO
1986,349.94,MLO
1986,349.07,MLO
1986,347.06,MLO
1986,345.26,MLO
1986,344.05,MLO
1986,343.81,MLO
1986,345.37,MLO
1986,346.84,MLO
1987,347.51,MLO
1987,348.25,MLO
1987,349.26,MLO
1987,350.75,MLO
1987,351.77,MLO
1987,351.4,MLO
1987,349.62,MLO
1987,347.48,MLO
1987,346.45,MLO
1987,346.81,MLO
1987,348.11,MLO
1987,349.42,MLO
1988,350.28,MLO
1988,351.35,MLO
1988,352.52,MLO
1988,353.72,MLO
1988,354.35,MLO
1988,353.83,MLO
1988,352.34,MLO
1988,350.12,MLO
1988,348.78,MLO
1988,349.12,MLO
1988,350.14,MLO
1988,351.61,MLO
1989,352.74,MLO
1989,353.14,MLO
1989,353.96,MLO
1989,355.54,MLO
1989,356.16,MLO
1989,355.46,MLO
1989,354,MLO
1989,351.37,MLO
1989,349.51,MLO
1989,349.9,MLO
1989,351.53,MLO
1989,352.88,MLO
1990,354.02,MLO
1990,355.11,MLO
1990,355.9,MLO
1990,356.71,MLO
1990,357.17,MLO
1990,356.32,MLO
1990,354.53,MLO
1990,352.44,MLO
1990,351.21,MLO
1990,351.52,MLO
1990,353.1,MLO
1990,354.66,MLO
1991,355.23,MLO
1991,356.1,MLO
1991,357.54,MLO
1991,358.68,MLO
1991,359.34,MLO
1991,358.28,MLO
1991,355.86,MLO
1991,353.82,MLO
1991,352.43,MLO
1991,352.53,MLO
1991,354,MLO
1991,355.44,MLO
1992,356.64,MLO
1992,357.29,MLO
1992,358.12,MLO
1992,359.17,MLO
1992,359.94,MLO
1992,359.49,MLO
1992,357.17,MLO
1992,355.02,MLO
1992,353.7,MLO
1992,353.56,MLO
1992,354.62,MLO
1992,355.98,MLO
1993,356.81,MLO
1993,357.39,MLO
1993,358.25,MLO
1993,359.56,MLO
1993,360.47,MLO
1993,359.69,MLO
1993,357.74,MLO
1993,355.54,MLO
1993,353.84,MLO
1993,354.2,MLO
1993,355.41,MLO
1993,356.9,MLO
1994,358.28,MLO
1994,358.86,MLO
1994,359.69,MLO
1994,361.04,MLO
1994,361.72,MLO
1994,360.83,MLO
1994,358.93,MLO
1994,356.94,MLO
1994,355.33,MLO
1994,355.55,MLO
1994,357.49,MLO
1994,359.57,MLO
1995,360.24,MLO
1995,360.61,MLO
1995,361.82,MLO
1995,362.93,MLO
1995,363.63,MLO
1995,363.28,MLO
1995,361.36,MLO
1995,359.17,MLO
1995,358.05,MLO
1995,358.09,MLO
1995,359.44,MLO
1995,361.02,MLO
1996,362.1,MLO
1996,363.2,MLO
1996,364.18,MLO
1996,364.8,MLO
1996,365.35,MLO
1996,365.13,MLO
1996,363.51,MLO
1996,361.13,MLO
1996,359.3,MLO
1996,359.38,MLO
1996,360.92,MLO
1996,362.03,MLO
1997,363.07,MLO
1997,363.89,MLO
1997,364.91,MLO
1997,366.56,MLO
1997,366.66,MLO
1997,365.49,MLO
1997,364.09,MLO
1997,362.15,MLO
1997,360.5,MLO
1997,360.71,MLO
1997,362.52,MLO
1997,364.16,MLO
1998,365.26,MLO
1998,366.04,MLO
1998,367.12,MLO
1998,368.65,MLO
1998,369.39,MLO
1998,368.98,MLO
1998,367.74,MLO
1998,365.74,MLO
1998,364.13,MLO
1998,364.13,MLO
1998,365.6,MLO
1998,367.53,MLO
1999,368.36,MLO
1999,368.63,MLO
1999,369.76,MLO
1999,370.89,MLO
1999,370.89,MLO
1999,370.42,MLO
1999,369.14,MLO
1999,366.95,MLO
1999,365.12,MLO
1999,365.43,MLO
1999,366.82,MLO
1999,368.36,MLO
2000,369.62,MLO
2000,370.13,MLO
2000,370.85,MLO
2000,371.81,MLO
2000,371.9,MLO
2000,371.38,MLO
2000,370.06,MLO
2000,368.11,MLO
2000,366.89,MLO
2000,367.14,MLO
2000,368.37,MLO
2000,369.61,MLO
2001,370.73,MLO
2001,371.82,MLO
2001,372.84,MLO
2001,373.68,MLO
2001,374.18,MLO
2001,373.36,MLO
2001,371.35,MLO
2001,369.41,MLO
2001,368.19,MLO
2001,368.44,MLO
2001,370.13,MLO
2001,371.43,MLO
2002,372.18,MLO
2002,372.94,MLO
2002,373.92,MLO
2002,374.8,MLO
2002,375.51,MLO
2002,375.55,MLO
2002,373.86,MLO
2002,371.19,MLO
2002,369.73,MLO
2002,370.45,MLO
2002,372.4,MLO
2002,373.65,MLO
2003,374.63,MLO
2003,375.77,MLO
2003,376.81,MLO
2003,378.08,MLO
2003,378.88,MLO
2003,378.26,MLO
2003,376.52,MLO
2003,374.53,MLO
2003,372.95,MLO
2003,373.12,MLO
2003,374.84,MLO
2003,376.03,MLO
2004,376.84,MLO
2004,377.81,MLO
2004,379.46,MLO
2004,380.74,MLO
2004,380.78,MLO
2004,379.62,MLO
2004,377.37,MLO
2004,375.56,MLO
2004,374.23,MLO
2004,374.54,MLO
2004,376.24,MLO
2004,377.61,MLO
2005,378.58,MLO
2005,380.19,MLO
2005,381.75,MLO
2005,382.15,MLO
2005,382.49,MLO
2005,382.26,MLO
2005,380.79,MLO
2005,378.62,MLO
2005,376.79,MLO
2005,377.05,MLO
2005,378.65,MLO
2005,380.1,MLO
2006,381.22,MLO
2006,381.92,MLO
2006,382.84,MLO
2006,384.73,MLO
2006,385.42,MLO
2006,384.07,MLO
2006,382.29,MLO
2006,380.06,MLO
2006,378.71,MLO
2006,379.11,MLO
2006,380.39,MLO
2006,381.8,MLO
2007,383.26,MLO
2007,384.42,MLO
2007,385.4,MLO
2007,386.49,MLO
2007,386.89,MLO
2007,386.31,MLO
2007,384.53,MLO
2007,381.65,MLO
2007,380.32,MLO
2007,381.16,MLO
2007,382.63,MLO
2007,384.06,MLO
2008,385.52,MLO
2008,385.71,MLO
2008,385.57,MLO
2008,387.05,MLO
2008,388.7,MLO
2008,388.46,MLO
2008,386.65,MLO
2008,384.24,MLO
2008,382.77,MLO
2008,382.91,MLO
2008,384.12,MLO
2008,385.66,MLO
2009,386.97,MLO
2009,387.71,MLO
2009,388.41,MLO
2009,389.34,MLO
2009,390.11,MLO
2009,389.52,MLO
2009,387.7,MLO
2009,385.84,MLO
2009,384.44,MLO
2009,384.6,MLO
2009,386,MLO
2009,387.51,MLO
2010,388.59,MLO
2010,389.72,MLO
2010,391.08,MLO
2010,392.6,MLO
2010,393.37,MLO
2010,392.25,MLO
2010,390.09,MLO
2010,388,MLO
2010,386.55,MLO
2010,387.2,MLO
2010,388.57,MLO
2010,390.07,MLO
2011,391.56,MLO
2011,392.14,MLO
2011,392.64,MLO
2011,393.69,MLO
2011,394.26,MLO
2011,393.8,MLO
2011,392.35,MLO
2011,389.96,MLO
2011,388.61,MLO
2011,389.15,MLO
2011,390.47,MLO
2011,392.17,MLO
2012,393,MLO
2012,393.25,MLO
2012,394.66,MLO
2012,396.56,MLO
2012,396.98,MLO
2012,395.86,MLO
2012,394.26,MLO
2012,392.19,MLO
2012,390.84,MLO
2012,391.1,MLO
2012,393.06,MLO
2012,394.65,MLO
2013,395.66,MLO
2013,396.8,MLO
2013,397.75,MLO
2013,398.7,MLO
2013,399.61,MLO
2013,399.15,MLO
2013,397.19,MLO
2013,395.01,MLO
2013,393.73,MLO
2013,393.87,MLO
2013,395.43,MLO
2013,397.03,MLO
2014,397.91,MLO
2014,398.33,MLO
2014,399.75,MLO
2014,401.63,MLO
2014,402.24,MLO
2014,401.39,MLO
2014,398.96,MLO
2014,396.52,MLO
2014,395.35,MLO
2014,395.67,MLO
2014,397.5,MLO
2014,399.27,MLO
2015,400.05,MLO
2015,400.38,MLO
2015,401.58,MLO
2015,403.68,MLO
2015,404.16,MLO
2015,402.93,MLO
2015,400.93,MLO
2015,398.9,MLO
2015,397.66,MLO
2015,398.22,MLO
2015,399.95,MLO
2015,401.56,MLO
